internal_id,name,bga_player_id,current_country,bga_country,status
11779,Angeleye91,84080145,BE,BE,ok
11788,masterfynch,86580265,BE,BE,ok
11815,marmee26,93328927,BE,BE,ok
11893,ververken,84078969,BE,BE,ok
11911,Barthalie,93683592,BE,BE,ok
11955,JeroenM94,91257587,BE,BE,ok
12066,dygitaline,91014341,BE,BE,ok
12156,Hougoo,92597444,BE,BE,ok
12181,Cfcuyper,89549439,BE,BE,ok
12193,p1n0,83865935,BE,BE,ok
12246,geenszins,92251288,BE,BE,ok
12308,KTTK,84087635,BE,BE,ok
12363,bib01,86144291,BE,BE,ok
12367,AmandineC,85831472,BE,BE,ok
12387,F2xU31,92670636,BE,BE,ok
12444,Jasper68,86419343,BE,BE,ok
12492,Tanni_Weasley,87272048,BE,BE,ok
12500,edeloup,91994668,BE,BE,ok
12548,Annickette,89438068,BE,BE,ok
12608,ThatGirl101,84496996,BE,BE,ok
12625,Spelmaecker Davy,42392034,BE,BE,ok
12641,kamajast,87585330,BE,BE,ok
12728,ImkeVe,87911447,BE,BE,ok
12729,StefB84,95471439,BE,BE,ok
12794,DZOING,317834,BE,BE,ok
12812,wonderful-goose678,97219905,BE,BE,ok
12926,Adrimetum,85618165,BE,BE,ok
12935,Kire,87119233,BE,BE,ok
12955,Halfke24,90312975,BE,BE,ok
12998,Sulivan84,84547703,BE,BE,ok
13014,vivi-ane,84170574,BE,BE,ok
13112,suzy1978,90501329,BE,BE,ok
13164,Kharskette,88920136,BE,BE,ok
13186,Teofrancken15,94700632,BE,BE,ok
13192,mangoest-,94619377,BE,BE,ok
13209,ldvs,85642475,BE,BE,ok
13277,PJ Cannaert,86089452,BE,BE,ok
13365,Captain_Haddock,92937589,BE,BE,ok
13384,Britt82,93602586,BE,BE,ok
13422,BigDiD,86983168,BE,BE,ok
13423,Ellen_W,91735471,BE,BE,ok
13448,Lichaamsvocht,92509160,BE,BE,ok
13465,stefanie565,88470728,BE,BE,ok
13675,Frantine,86065895,BE,BE,ok
13679,Droopette,88351869,BE,BE,ok
13687,Tessje2010,87712109,BE,BE,ok
13776,Hapmeister,85732548,BE,BE,ok
13846,Benjiftw,87593745,BE,BE,ok
13857,Batsman4793,85732406,BE,BE,ok
13871,jonpat,85717663,BE,BE,ok
13874,Mynnah,93367143,BE,BE,ok
13899,SnifferJP,93358786,BE,BE,ok
13910,Nieln,85995004,BE,BE,ok
14007,Natacha12101991,89184857,BE,BE,ok
14009,Blondeel,86747244,BE,BE,ok
14044,Marit,85611772,BE,BE,ok
14062,G Lagaffe,98842655,BE,BE,ok
14070,StraffeFons,88649151,BE,BE,ok
14076,Smashie,87629167,BE,BE,ok
14080,Photinini,88808720,BE,BE,ok
14111,Adrienlemalin,86835344,BE,BE,ok
14129,Ibekind,86982968,BE,BE,ok
14134,The King of Rage,86850567,BE,BE,ok
14136,maximus 1987,86599526,BE,BE,ok
14184,baaigones,84878551,BE,BE,ok
14186,ChewbaccaBE,89089761,BE,BE,ok
14197,bwally,86555478,BE,BE,ok
14207,CdRC17,90493533,BE,BE,ok
14226,Rotte vis,86597942,BE,BE,ok
14259,Sarasaar,85267445,BE,BE,ok
14266,Yuzzui,91851090,BE,BE,ok
14274,OliverV,92045947,BE,BE,ok
14280,phg,85645262,BE,BE,ok
14348,valeriedesbois,29226134,BE,BE,ok
14363,Arlieke,87063004,BE,BE,ok
14469,MagicPhantom,86108996,BE,BE,ok
14610,metie,89019866,BE,BE,ok
14668,titine0123,96736181,BE,BE,ok
14812,siebre,95860676,BE,BE,ok
14846,sprayerx,91910753,BE,BE,ok
14903,Staeltje,89639484,BE,BE,ok
14946,krusty5,86220341,BE,BE,ok
14959,kate26,91734642,BE,BE,ok
14967,janneke2021,89664688,BE,BE,ok
15012,Fartur,84457773,BE,BE,ok
15013,jillekeee,85353218,BE,BE,ok
15026,eabel,91165690,BE,BE,ok
15063,webster1982,88895584,BE,BE,ok
15081,Shine13,88910952,BE,BE,ok
15102,BassiPP,90154505,BE,BE,ok
15246,chocolat01,85252948,BE,BE,ok
